property_id,locality,property_type,bhk,size_sqft,price_lakhs,rent_monthly,availability,possession_year,furnished_status,posted_on
1,Malad,Studio,1,1292.29,136.95,55665.0,Ready to move,2025,Unfurnished,2024-09-14 00:00:00
2,Powai,Apartment,2,894.23,112.35,41791.0,Ready to move,2025,Furnished,2024-04-27 00:00:00
3,Goregaon,Apartment,1,915.87,190.0,29550.0,Ready to move,2025,Semi-Furnished,2024-09-16 00:00:00
4,Borivali,Studio,3,889.52,126.44,50435.0,Ready to move,2025,Furnished,2024-08-04 00:00:00
5,Malad,Apartment,2,1019.09,260.05,40941.0,Ready to move,2025,Unfurnished,2024-06-28 00:00:00
6,Vikhroli,Apartment,1,702.27,160.89,17685.0,Ready to move,2025,Furnished,2024-12-04 00:00:00
7,Juhu,Studio,2,785.71,209.1,47965.0,Ready to move,2025,Semi-Furnished,2024-11-15 00:00:00
8,Malad,Villa,1,1093.1,99.27,36938.0,Under construction,2025,Semi-Furnished,2024-08-08 00:00:00
9,Goregaon,Villa,2,933.21,150.59,50186.0,Ready to move,2027,Furnished,2024-03-30 00:00:00
10,Borivali,Villa,3,815.73,180.81,32174.0,Ready to move,2026,Furnished,2024-08-07 00:00:00
11,Powai,Apartment,2,429.84,98.33,26904.0,Ready to move,2026,Unfurnished,2024-11-08 00:00:00
12,Goregaon,Apartment,1,1299.42,151.02,62702.0,Ready to move,2024,Semi-Furnished,2024-01-01 00:00:00
13,Goregaon,Apartment,3,651.56,202.59,57647.0,Ready to move,2025,Semi-Furnished,2024-12-02 00:00:00
14,Juhu,Apartment,1,1146.17,133.63,44901.0,Ready to move,2024,Unfurnished,2024-08-15 00:00:00
15,Dadar,Apartment,3,902.73,107.41,51567.0,Ready to move,2025,Furnished,2024-01-08 00:00:00
16,Borivali,Villa,2,461.96,240.15,57156.0,Ready to move,2025,Unfurnished,2024-02-01 00:00:00
17,Bandra,Villa,2,1225.68,91.41,44847.0,Under construction,2025,Semi-Furnished,2024-01-29 00:00:00
18,Goregaon,Apartment,3,926.36,157.79,26872.0,Ready to move,2026,Semi-Furnished,2024-03-31 00:00:00
19,Dadar,Villa,3,1250.6,114.59,49492.0,Ready to move,2026,Furnished,2024-09-15 00:00:00
20,Bandra,Villa,1,795.28,103.16,60033.0,Ready to move,2025,Unfurnished,2024-12-12 00:00:00
21,Borivali,Apartment,1,1061.22,187.08,53898.0,Ready to move,2026,Furnished,2024-06-20 00:00:00
22,Andheri,Apartment,3,321.24,139.72,45890.0,Ready to move,2025,Semi-Furnished,2024-07-01 00:00:00
23,Vikhroli,Apartment,1,699.94,170.29,53479.0,Ready to move,2024,Semi-Furnished,2024-07-08 00:00:00
24,Dadar,Apartment,2,468.1,37.24,41651.0,Ready to move,2024,Semi-Furnished,2024-03-31 00:00:00
25,Kandivali,Apartment,3,737.56,175.16,60663.0,Under construction,2024,Furnished,2024-09-09 00:00:00
26,Andheri,Apartment,2,991.54,113.97,65208.0,Ready to move,2025,Unfurnished,2024-03-25 00:00:00
27,Vikhroli,Apartment,3,668.63,56.06,25557.0,Ready to move,2025,Furnished,2024-04-21 00:00:00
28,Juhu,Apartment,3,1109.15,244.24,61739.0,Ready to move,2025,Furnished,2024-01-15 00:00:00
29,Malad,Studio,2,593.02,180.05,78559.0,Ready to move,2026,Furnished,2024-03-22 00:00:00
30,Powai,Apartment,3,1115.57,161.36,52884.0,Under construction,2024,Semi-Furnished,2024-06-19 00:00:00
31,Kandivali,Villa,2,1242.93,212.47,59756.0,Ready to move,2026,Unfurnished,2024-08-28 00:00:00
32,Juhu,Apartment,2,1154.06,162.38,35294.0,Ready to move,2024,Unfurnished,2024-09-28 00:00:00
33,Borivali,Apartment,2,746.74,110.07,37444.0,Ready to move,2026,Semi-Furnished,2024-08-30 00:00:00
34,Juhu,Studio,3,300.0,141.25,41857.0,Under construction,2026,Semi-Furnished,2024-12-15 00:00:00
35,Malad,Apartment,3,1024.65,116.08,38963.0,Ready to move,2025,Semi-Furnished,2024-06-05 00:00:00
36,Borivali,Apartment,1,812.43,124.98,25323.0,Ready to move,2024,Semi-Furnished,2024-07-31 00:00:00
37,Kandivali,Villa,2,556.48,87.11,42410.0,Ready to move,2024,Unfurnished,2024-03-30 00:00:00
38,Malad,Apartment,4,683.12,101.5,57546.0,Under construction,2025,Furnished,2024-06-19 00:00:00
39,Bandra,Apartment,2,1280.33,194.73,25522.0,Under construction,2024,Furnished,2024-11-19 00:00:00
40,Powai,Apartment,1,508.8,166.6,47687.0,Under construction,2024,Furnished,2024-06-19 00:00:00
41,Kandivali,Villa,2,990.49,124.85,47227.0,Ready to move,2025,Furnished,2024-05-28 00:00:00
42,Bandra,Apartment,4,915.39,98.6,40480.0,Ready to move,2025,Unfurnished,2024-10-15 00:00:00
43,Vikhroli,Apartment,3,742.78,129.73,52448.0,Ready to move,2024,Semi-Furnished,2024-04-09 00:00:00
44,Kandivali,Apartment,3,1043.36,65.81,51040.0,Under construction,2025,Furnished,2024-09-03 00:00:00
45,Vikhroli,Apartment,1,1339.67,156.33,39414.0,Under construction,2026,Furnished,2024-07-11 00:00:00
46,Borivali,Villa,3,761.21,197.27,60913.0,Ready to move,2025,Unfurnished,2024-04-01 00:00:00
47,Bandra,Apartment,2,777.05,268.35,53409.0,Ready to move,2024,Semi-Furnished,2024-10-01 00:00:00
48,Powai,Apartment,3,1036.62,94.84,68602.0,Ready to move,2026,Semi-Furnished,2024-12-10 00:00:00
49,Malad,Apartment,2,1125.47,195.19,44004.0,Ready to move,2025,Furnished,2024-02-11 00:00:00
50,Goregaon,Villa,1,811.69,114.64,40174.0,Ready to move,2024,Furnished,2024-09-10 00:00:00
51,Juhu,Apartment,2,758.39,93.58,41873.0,Ready to move,2025,Semi-Furnished,2024-06-30 00:00:00
52,Andheri,Villa,1,300.0,93.56,62675.0,Ready to move,2024,Semi-Furnished,2024-07-08 00:00:00
53,Powai,Villa,3,616.6,157.04,42770.0,Ready to move,2025,Furnished,2024-10-24 00:00:00
54,Bandra,Apartment,4,508.21,103.46,43685.0,Under construction,2024,Furnished,2024-09-06 00:00:00
55,Goregaon,Apartment,2,1055.39,119.66,74415.0,Ready to move,2025,Furnished,2024-12-29 00:00:00
56,Powai,Apartment,3,776.83,127.98,24833.0,Under construction,2025,Semi-Furnished,2024-04-08 00:00:00
57,Bandra,Villa,2,765.09,113.0,50352.0,Ready to move,2024,Unfurnished,2024-05-31 00:00:00
58,Dadar,Apartment,3,847.28,109.37,44078.0,Ready to move,2024,Unfurnished,2024-10-27 00:00:00
59,Dadar,Apartment,3,588.95,30.0,41241.0,Under construction,2026,Semi-Furnished,2024-09-22 00:00:00
60,Vikhroli,Villa,3,1315.97,154.35,30700.0,Ready to move,2024,Unfurnished,2024-05-01 00:00:00
61,Powai,Apartment,2,1239.46,153.38,35041.0,Under construction,2024,Furnished,2024-02-10 00:00:00
62,Dadar,Apartment,2,1335.43,110.13,38879.0,Ready to move,2024,Furnished,2024-01-30 00:00:00
63,Bandra,Apartment,3,1055.03,168.02,52436.0,Ready to move,2024,Furnished,2024-03-08 00:00:00
64,Vikhroli,Apartment,1,841.16,219.85,57787.0,Under construction,2024,Furnished,2024-12-03 00:00:00
65,Bandra,Villa,3,1334.42,151.18,18318.0,Ready to move,2024,Unfurnished,2024-03-05 00:00:00
