property_id,locality,property_type,bhk,size_sqft,price_lakhs,rent_monthly,availability,possession_year,furnished_status,posted_on
656,Borivali,Apartment,3,1019.04,214.51,49222.0,Ready to move,2024,Semi-Furnished,2024-03-25 00:00:00
8958,Dadar,Apartment,1,913.05,87.21,45735.0,Under construction,2025,Semi-Furnished,2024-12-01 00:00:00
1646,Malad,Villa,1,777.66,55.0,33944.0,Ready to move,2025,Furnished,2024-02-26 00:00:00
8829,Malad,Apartment,4,300.0,132.44,49755.0,Ready to move,2024,Semi-Furnished,2024-11-13 00:00:00
3134,Malad,Apartment,2,930.54,53.76,71089.0,Ready to move,2024,Semi-Furnished,2024-02-15 00:00:00
6171,Bandra,Apartment,2,1165.25,88.04,30283.0,Ready to move,2025,Semi-Furnished,2024-01-23 00:00:00
1790,Vikhroli,Apartment,2,696.93,85.55,61840.0,Ready to move,2026,Unfurnished,2024-02-19 00:00:00
8397,Goregaon,Apartment,3,918.29,175.38,32036.0,Ready to move,2024,Unfurnished,2024-01-17 00:00:00
5574,Kandivali,Villa,4,1356.73,141.32,73924.0,Ready to move,2025,Furnished,2024-08-28 00:00:00
8826,Juhu,Apartment,1,1109.75,216.99,47010.0,Ready to move,2024,Furnished,2024-02-07 00:00:00
452,Juhu,Apartment,1,547.3,91.29,51239.0,Ready to move,2024,Furnished,2024-08-08 00:00:00
4977,Bandra,Apartment,2,771.08,129.85,35604.0,Ready to move,2024,Semi-Furnished,2024-02-12 00:00:00
5776,Dadar,Apartment,1,732.78,152.26,40643.0,Ready to move,2024,Unfurnished,2024-01-06 00:00:00
7674,Andheri,Apartment,2,586.68,72.44,34754.0,Ready to move,2024,Semi-Furnished,2024-05-06 00:00:00
8852,Andheri,Apartment,2,1142.68,132.09,55319.0,Ready to move,2024,Unfurnished,2024-10-30 00:00:00
8893,Malad,Apartment,1,459.3,167.66,77879.0,Ready to move,2024,Semi-Furnished,2024-05-09 00:00:00
7643,Vikhroli,Apartment,2,736.77,79.83,41507.0,Ready to move,2025,Furnished,2024-05-08 00:00:00
9760,Dadar,Apartment,2,898.04,150.49,31980.0,Ready to move,2027,Furnished,2024-09-17 00:00:00
2975,Bandra,Apartment,3,668.83,196.07,82544.0,Ready to move,2025,Furnished,2024-04-03 00:00:00
2558,Borivali,Apartment,4,866.78,137.75,26460.0,Ready to move,2026,Semi-Furnished,2024-03-09 00:00:00
1565,Bandra,Apartment,1,912.2,124.99,37403.0,Under construction,2026,Semi-Furnished,2024-10-05 00:00:00
2843,Powai,Apartment,1,682.2,91.23,40888.0,Ready to move,2025,Semi-Furnished,2024-01-05 00:00:00
5962,Vikhroli,Villa,1,885.56,186.08,34026.0,Ready to move,2026,Furnished,2024-12-01 00:00:00
5056,Kandivali,Apartment,3,462.74,171.77,41815.0,Ready to move,2024,Unfurnished,2024-10-06 00:00:00
6127,Kandivali,Apartment,2,482.77,179.65,41076.0,Ready to move,2024,Furnished,2024-11-17 00:00:00
8257,Dadar,Apartment,3,1046.82,120.68,55102.0,Ready to move,2027,Semi-Furnished,2024-01-21 00:00:00
490,Bandra,Apartment,2,638.01,166.33,14837.0,Ready to move,2024,Unfurnished,2024-04-13 00:00:00
8737,Goregaon,Studio,2,903.16,182.01,27494.0,Ready to move,2024,Semi-Furnished,2024-10-08 00:00:00
2346,Andheri,Apartment,1,1312.01,166.4,52842.0,Ready to move,2024,Semi-Furnished,2024-08-01 00:00:00
6496,Vikhroli,Apartment,3,714.11,209.38,33636.0,Ready to move,2025,Furnished,2024-01-17 00:00:00
3278,Powai,Apartment,1,999.48,150.5,35746.0,Ready to move,2026,Semi-Furnished,2024-06-16 00:00:00
7495,Borivali,Villa,3,999.64,117.17,79772.0,Under construction,2027,Semi-Furnished,2024-11-11 00:00:00
5244,Juhu,Studio,2,1089.97,164.14,38643.0,Under construction,2025,Unfurnished,2024-08-13 00:00:00
2084,Powai,Apartment,2,778.45,140.34,42103.0,Ready to move,2025,Unfurnished,2024-08-06 00:00:00
3953,Borivali,Apartment,2,1416.13,110.43,40513.0,Ready to move,2024,Unfurnished,2024-04-12 00:00:00
9272,Andheri,Apartment,3,1222.8,93.97,46207.0,Ready to move,2024,Furnished,2024-04-24 00:00:00
9401,Malad,Apartment,1,586.36,69.08,54182.0,Ready to move,2024,Unfurnished,2024-11-11 00:00:00
7068,Dadar,Apartment,2,1166.54,255.56,46461.0,Ready to move,2024,Semi-Furnished,2024-02-11 00:00:00
7419,Juhu,Apartment,2,1083.98,146.65,30149.0,Ready to move,2025,Semi-Furnished,2024-10-08 00:00:00
1118,Malad,Studio,3,612.63,168.03,54371.0,Ready to move,2025,Furnished,2024-11-22 00:00:00
69,Malad,Apartment,3,1006.86,90.59,23045.0,Ready to move,2025,Furnished,2024-11-13 00:00:00
5078,Andheri,Apartment,2,768.31,168.3,47655.0,Ready to move,2024,Unfurnished,2024-04-19 00:00:00
541,Dadar,Apartment,2,467.65,62.55,11859.0,Under construction,2024,Unfurnished,2024-03-25 00:00:00
3026,Malad,Apartment,1,840.56,92.74,36265.0,Ready to move,2024,Semi-Furnished,2024-08-06 00:00:00
